slide_name,permissible_angle,slide_width_um,scanner_name,time_stamp,slide_id,load_identifier,x_offset_um,y_offset_um,row_index,col_index,row_col
H01CBA02P_95272,4.546538986,25230.6,H01CBA02P,2021-04-11T07:14:55,95272,CS002-1-1618118000086,,,2,22,"2,22"
H01CBA06P_95119,3.985405109,25179,H01CBA06P,2021-04-11T07:15:34,95119,CS002-3-1618117995424,,,1,19,"1,19"
H01CBA05P_95377,4.532066731,25311,H01CBA05P,2021-04-11T07:16:35,95377,CS002-2-1618118012311,,,2,7,"2,7"
H01CBA02P_95274,4.55364683,25191.3,H01CBA02P,2021-04-11T07:17:38,95274,CS002-1-1618118000086,,,2,24,"2,24"
H01CBA06P_95120,3.979310711,25217.5,H01CBA06P,2021-04-11T07:18:17,95120,CS002-3-1618117995424,,,1,20,"1,20"
H01CBA05P_95378,4.456378298,25740,H01CBA05P,2021-04-11T07:18:55,95378,CS002-2-1618118012311,,,2,8,"2,8"
H01CBA02P_95276,4.532389727,25309.2,H01CBA02P,2021-04-11T07:19:58,95276,CS002-1-1618118000086,,,2,26,"2,26"
H01CBA05P_95379,4.463154333,25701,H01CBA05P,2021-04-11T07:20:34,95379,CS002-2-1618118012311,,,2,9,"2,9"
H01CBA06P_95121,3.997650124,25102,H01CBA06P,2021-04-11T07:21:14,95121,CS002-3-1618117995424,,,1,21,"1,21"
H01CBA05P_95380,4.539075318,25272,H01CBA05P,2021-04-11T07:21:51,95380,CS002-2-1618118012311,,,2,10,"2,10"
H01CBA06P_95122,3.985405109,25179,H01CBA06P,2021-04-11T07:22:30,95122,CS002-3-1618117995424,,,1,22,"1,22"
